Thứ,Ngày,Tiền Mặt,Tiền Dự Trữ Trong Két,Tổng Chi Phí Ngày,Ghi Chú,,,
Monday,30/06/25,"460,000 ₫","750,000 ₫","2,280,000 ₫","Dán bảng (380k)
Trả tiền A( 1tr140k)
Trả tiền nhân viên B (760k)
",,Tổng Doanh Thu Tiền Mặt,"11,843,000 ₫"
Tuesday,01/07/25,"568,000 ₫","750,000 ₫",0 ₫,,,Tổng Chi Phí Phát Sinh,"9,373,000 ₫"
Wednesday,02/07/25,"350,000 ₫","750,000 ₫","209,000 ₫","mua chuối 500g
mua dâu 1kg
Tổng 209k
",,,
Thursday,03/07/25,"68,000 ₫","750,000 ₫","30,000 ₫",tiền đá sạch (30k),,Tổng Doanh Thu Tháng Hiện Tại,"11,383,000 ₫"
Friday,04/07/25,"890,000 ₫","750,000 ₫",0 ₫,,,Tổng Doanh Thu Tháng Trước,0 ₫
Saturday,05/07/25,"1,689,000 ₫","750,000 ₫","357,000 ₫","tiền hoa tươi (140k)
Tiền đường, giấy (217k)",,,
Sunday,06/07/25,"1,560,000 ₫","750,000 ₫","1,493,000 ₫","tiền đá (30k)
Nguyên liệu (963k)
Tiền sửa xe (500k)
",,Lưu ý bảng báo cáo sẽ tự nhân 1000 khi nhập số liệu. Và ngày hôm nay sẽ được highlight,
Monday,07/07/25,"423,000 ₫","750,000 ₫","110,000 ₫","tiền đá,đường phèn,chai xịt muỗi (110k)",,,
Tuesday,08/07/25,"433,000 ₫","750,000 ₫","2,171,000 ₫","tiền khung tranh (90k ck)
tiền đổ xăng (100k ck )
tiền nạp đt (30k ck )
tiền ăn (325k ck )
tiền nguyên liệu (726k ck )
tiền marketing (500k ck )",,,
Wednesday,09/07/25,"333,000 ₫","750,000 ₫","1,083,000 ₫","Tiền ăn của như vs nhân viên 3 ngày (220k).                                                              Tiền đá (30k).                                                     Nước rửa kính, chai xịt phòng WC (78k).                                                    Tiền kệ bánh (600k).",,,
Thursday,10/07/25,"246,000 ₫","750,000 ₫",0 ₫,,,,
Friday,11/07/25,"985,000 ₫","750,000 ₫","600,000 ₫",Tiền bác bảo vệ (600k),,,
Saturday,12/07/25,"1,985,000 ₫","750,000 ₫","40,000 ₫",Tiền hoa (40k),,,
Sunday,13/07/25,"1,853,000 ₫","750,000 ₫","1,000,000 ₫",Tiền bảo trì máy pha cà phê (1tr),,,
Monday,14/07/25,,,,,,,
Tuesday,15/07/25,,,,,,,
Wednesday,16/07/25,,,,,,,
Thursday,17/07/25,,,,,,,
Friday,18/07/25,,,,,,,
Saturday,19/07/25,,,,,,,
Sunday,20/07/25,,,,,,,
Monday,21/07/25,,,,,,,
Tuesday,22/07/25,,,,,,,
Wednesday,23/07/25,,,,,,,
Thursday,24/07/25,,,,,,,
Friday,25/07/25,,,,,,,
Saturday,26/07/25,,,,,,,
Sunday,27/07/25,,,,,,,
Monday,28/07/25,,,,,,,
Tuesday,29/07/25,,,,,,,
Wednesday,30/07/25,,,,,,,
Monday,31/07/25,,,,,,,